% class: {"招聘": 0, "生活服务": 1, "物业地产": 2, "汽车交通": 3, "社交": 4, "能源": 5, "硬件": 6, "安全": 7, "美业": 8, "旅游": 9, "法律": 10, "金融": 11, "婚恋": 12, "家装家居": 13, "农业": 14, "媒体娱乐": 15, "游戏": 16, "生物制药": 17, "云服务": 18, "教育培训": 19, "电子商务": 20, "医疗健康": 21, "市场营销": 22, "体育运动": 23}
@RELATION field 

@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}

@DATA
2.30365,-10.0,-0.53728,-0.01391,10.0,-0.08054,-0.1547,10.0,-0.68849,-0.6025,10.0,-0.05135,0.37074,10.0,1.53031,0.18894,-10.0,-1.05006,0.31196,-10.0,0.07853,-0.07799,10.0,0.56011,-0.11236,-10.0,0.07101,0.15221,10.0,-0.17821,5
1.725,10.0,-0.23141,0.16061,10.0,-0.50366,-0.65023,-10.0,-0.7754,-0.55977,10.0,-0.18391,0.13378,-10.0,0.88276,-0.21284,-10.0,-0.3504,0.62292,-10.0,-0.06735,0.15026,-0.01969,0.42388,-0.22891,10.0,0.27899,-0.11228,-10.0,0.0752,5
0.8989,-10.0,0.32317,-0.06078,0.73255,0.5106,0.71622,10.0,0.06159,-0.73579,-0.05334,1.14759,0.34029,10.0,0.18398,0.32886,10.0,0.57346,0.10231,10.0,0.05517,-0.00616,-10.0,0.09775,0.04437,10.0,-0.34882,0.11365,10.0,0.0833,5
0.6881,-0.24202,-0.13122,-0.26186,10.0,0.09549,-0.41929,-10.0,0.49014,0.01396,10.0,0.19967,-0.18531,10.0,0.01059,-0.29616,-10.0,0.00603,0.10734,0.16903,-0.05016,0.06423,-0.06255,0.29973,-0.11246,-10.0,0.08586,0.0,-10.0,0.12809,5
1.73366,10.0,-0.4671,0.10833,10.0,-0.15347,-0.53626,-10.0,-0.51155,-0.53011,-10.0,-0.25963,0.15382,-10.0,1.0284,-0.07284,10.0,-0.79944,0.5086,10.0,-0.19936,0.00607,-10.0,0.57339,0.06776,-10.0,-0.08539,0.12318,10.0,0.1318,5
1.12508,-10.0,-0.10184,0.09674,0.09166,-0.15246,-0.42814,-10.0,-0.16907,-0.43358,10.0,0.13821,-0.08404,10.0,0.09139,-0.16127,-10.0,-0.25461,0.23414,10.0,-0.15844,-0.06058,-10.0,0.02949,-0.04087,-10.0,-0.02178,0.05061,0.01348,0.12905,5
1.16044,-10.0,-0.31415,0.0235,-10.0,-0.0315,-0.20951,-10.0,-0.193,-0.27785,10.0,-0.07166,0.02339,10.0,0.47508,-0.05155,-10.0,-0.42307,0.03081,10.0,-0.16268,-0.02264,10.0,0.27916,-0.16479,10.0,0.06851,0.03255,-0.09989,-0.03629,5
1.7687,-0.3521,-0.08766,0.24524,-10.0,-0.51264,-0.58006,-10.0,-1.05961,-0.72286,-10.0,0.0565,0.261,10.0,0.43766,-0.29564,10.0,-0.47786,-0.18413,0.30851,0.41504,0.02847,10.0,-1.23553,0.87877,-10.0,-0.64555,-0.66421,0.35985,-0.30438,5
2.99337,-10.0,-0.61941,0.29498,-10.0,-0.41636,-0.5394,-10.0,-0.91842,-0.66644,10.0,-0.28896,0.4336,10.0,1.58958,-0.04898,-10.0,-1.43181,0.773,10.0,0.10078,0.20048,-10.0,0.62068,-0.04195,-10.0,0.13941,0.19556,10.0,-0.05106,5
0.94669,-10.0,0.34649,-0.05479,-10.0,0.1645,0.81331,10.0,0.22459,-0.1765,10.0,-0.0503,-0.02137,10.0,0.08834,0.59444,-10.0,0.26297,-0.32542,10.0,-0.09567,0.08816,10.0,0.11017,0.15417,-10.0,0.17967,-0.08985,10.0,-0.02231,5
